C_CODE,I_CODE,YEAR,MEASUREMENTS
AUS,SP.POP.TOTL,1960,10276477
AUS,SP.POP.TOTL,1961,10483000
AUS,SP.POP.TOTL,1962,10742000
AUS,SP.POP.TOTL,1963,10950000
AUS,SP.POP.TOTL,1964,11167000
AUS,SP.POP.TOTL,1965,11388000
AUS,SP.POP.TOTL,1966,11651000
AUS,SP.POP.TOTL,1967,11799000
AUS,SP.POP.TOTL,1968,12009000
AUS,SP.POP.TOTL,1969,12263000
AUS,SP.POP.TOTL,1970,12507000
AUS,SP.POP.TOTL,1971,12937000
AUS,SP.POP.TOTL,1972,13177000
AUS,SP.POP.TOTL,1973,13380000
AUS,SP.POP.TOTL,1974,13723000
AUS,SP.POP.TOTL,1975,13893000
AUS,SP.POP.TOTL,1976,14033000
AUS,SP.POP.TOTL,1977,14192000
AUS,SP.POP.TOTL,1978,14358000
AUS,SP.POP.TOTL,1979,14514000
AUS,SP.POP.TOTL,1980,14692000
AUS,SP.POP.TOTL,1981,14927000
AUS,SP.POP.TOTL,1982,15178000
AUS,SP.POP.TOTL,1983,15369000
AUS,SP.POP.TOTL,1984,15544000
AUS,SP.POP.TOTL,1985,15758000
AUS,SP.POP.TOTL,1986,16018400
AUS,SP.POP.TOTL,1987,16263900
AUS,SP.POP.TOTL,1988,16532200
AUS,SP.POP.TOTL,1989,16814400
AUS,SP.POP.TOTL,1990,17065100
AUS,SP.POP.TOTL,1991,17284000
AUS,SP.POP.TOTL,1992,17495000
AUS,SP.POP.TOTL,1993,17667000
AUS,SP.POP.TOTL,1994,17855000
AUS,SP.POP.TOTL,1995,18072000
AUS,SP.POP.TOTL,1996,18311000
AUS,SP.POP.TOTL,1997,18517000
AUS,SP.POP.TOTL,1998,18711000
AUS,SP.POP.TOTL,1999,18926000
AUS,SP.POP.TOTL,2000,19153000
AUS,SP.POP.TOTL,2001,19413000
AUS,SP.POP.TOTL,2002,19651400
AUS,SP.POP.TOTL,2003,19895400
AUS,SP.POP.TOTL,2004,20127400
AUS,SP.POP.TOTL,2005,20394800
AUS,SP.POP.TOTL,2006,20697900
AUS,SP.POP.TOTL,2007,20827600
AUS,SP.POP.TOTL,2008,21249200
AUS,SP.POP.TOTL,2009,21691700
AUS,SP.POP.TOTL,2010,22031750
AUS,SP.POP.TOTL,2011,22340024
AUS,SP.POP.TOTL,2012,22733465
