,,,
YEAR,5YRPERIOD,10YRPERIOD,20YRPERIOD
1960,60-64,1960-1970,1960-1980
1961,60-64,1960-1970,1960-1980
1962,60-64,1960-1970,1960-1980
1963,60-64,1960-1970,1960-1980
1964,60-64,1960-1970,1960-1980
1965,65-69,1960-1970,1960-1980
1966,65-69,1960-1970,1960-1980
1967,65-69,1960-1970,1960-1980
1968,65-69,1960-1970,1960-1980
1969,65-69,1960-1970,1960-1980
1970,70-74,1970-1980,1960-1980
1971,70-74,1970-1980,1960-1980
1972,70-74,1970-1980,1960-1980
1973,70-74,1970-1980,1960-1980
1974,70-74,1970-1980,1960-1980
1975,75-79,1970-1980,1960-1980
1976,75-79,1970-1980,1960-1980
1977,75-79,1970-1980,1960-1980
1978,75-79,1970-1980,1960-1980
1979,75-79,1970-1980,1960-1980
1980,80-84,1980-1990,1980-2000
1981,80-84,1980-1990,1980-2000
1982,80-84,1980-1990,1980-2000
1983,80-84,1980-1990,1980-2000
1984,80-84,1980-1990,1980-2000
1985,85-89,1980-1990,1980-2000
1986,85-89,1980-1990,1980-2000
1987,85-89,1980-1990,1980-2000
1988,85-89,1980-1990,1980-2000
1989,85-89,1980-1990,1980-2000
1990,90-94,1990-2000,1980-2000
1991,90-94,1990-2000,1980-2000
1992,90-94,1990-2000,1980-2000
1993,90-94,1990-2000,1980-2000
1994,90-94,1990-2000,1980-2000
1995,95-99,1990-2000,1980-2000
1996,95-99,1990-2000,1980-2000
1997,95-99,1990-2000,1980-2000
1998,95-99,1990-2000,1980-2000
1999,95-99,1990-2000,1980-2000
2000,00-04,2000-2010,2000-2020
2001,00-04,2000-2010,2000-2020
2002,00-04,2000-2010,2000-2020
2003,00-04,2000-2010,2000-2020
2004,00-04,2000-2010,2000-2020
2005,05-09,2000-2010,2000-2020
2006,05-09,2000-2010,2000-2020
2007,05-09,2000-2010,2000-2020
2008,05-09,2000-2010,2000-2020
2009,05-09,2000-2010,2000-2020
2010,10-14,2010-2020,2000-2020
2011,10-14,2010-2020,2000-2020
2012,10-14,2010-2020,2000-2020
2013,10-14,2010-2020,2000-2020
2014,10-14,2010-2020,2000-2020
2015,15-19,2010-2020,2000-2020
2016,15-19,2010-2020,2000-2020
2017,15-19,2010-2020,2000-2020
2018,15-19,2010-2020,2000-2020
2019,15-19,2010-2020,2000-2020
